'Reference';'Qty';'Value';'DNP';'Exclude from BOM';'Exclude from Board';'Exclude from Simulation';'Exclude from Position Files';'Footprint';'Datasheet';'Sim.Type';'Description';'Sim.Pins';'#';'Sim.Device'
'Battery_Cell1';'1';'LiPo';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_SON:Texas_DRC0010J_ThermalVias';'';'DC';'Single-cell battery';'1=+ 2=-';'1';'V'
'C1';'1';'100nF';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-223-3_TabPin2';'';'';'Unpolarized capacitor';'';'2';''
'C2';'1';'100nF';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-223-3_TabPin2';'';'';'Unpolarized capacitor';'';'3';''
'C3';'1';'100nF';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-223-3_TabPin2';'';'';'Unpolarized capacitor';'';'4';''
'C4';'1';'10 µF';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-23-5';'';'';'Unpolarized capacitor';'';'5';''
'C5';'1';'10 µF';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-23-5';'';'';'Unpolarized capacitor';'';'6';''
'C6';'1';'100nF';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-223-3_TabPin2';'';'';'Unpolarized capacitor';'';'7';''
'J1';'1';'Conn_01x02_Pin';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias';'';'';'Generic connector, single row, 01x02, script generated';'';'8';''
'J2';'1';'SWD Debug Header';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'';'';'';'Generic connector, double row, 02x02, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)';'';'9';''
'J3';'1';'UART Debug Header';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'';'';'';'Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)';'';'10';''
'J4';'1';'Conn_Coaxial';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm';'';'';'coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)';'';'11';''
'J5';'1';'LoRa Antenna';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm';'';'';'coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)';'';'12';''
'R1';'1';'10kΩ, 1%';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Sensor_Pressure:TE_MS5837-xxBA';'';'';'Resistor';'';'13';''
'R2';'1';'1.2k';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'';'';'';'Resistor';'';'14';''
'R3';'1';'10kΩ, 1%';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Sensor_Pressure:TE_MS5837-xxBA';'';'';'Resistor';'';'15';''
'R4';'1';'10kΩ, 1%';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Sensor_Pressure:TE_MS5837-xxBA';'';'';'Resistor';'';'16';''
'U1';'1';'RAK3172-xx-8-SM-xI';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'RF_Module:RAK3172';'https://docs.rakwireless.com/Product-Categories/WisDuo/RAK3172-Module/Datasheet/';'';'LoRa Module, STM32WLE5, RU864/IN865/EU868, RAKwireless';'';'17';''
'U2';'1';'MAX-M10S';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'RF_GPS:ublox_MAX';'https://content.u-blox.com/sites/default/files/MAX-M10S_DataSheet_UBX-20035208.pdf';'';'GNSS Module MAX M10, VCC 1.65V to 3.6V';'';'18';''
'U3';'1';'TP4056-42-ESOP8';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias';'https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf';'';'1A Standalone Linear Li-ion/LiPo single-cell battery charger, 4.2V ±1% charge voltage, VCC = 4.0..8.0V, SOIC-8 (SOP-8)';'';'19';''
'U4';'1';'AP2112K-3.3';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_TO_SOT_SMD:SOT-23-5';'https://www.diodes.com/assets/Datasheets/AP2112.pdf';'';'600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5';'';'20';''
'U5';'1';'LIS2DH';'';'';'';'';'${EXCLUDE_FROM_POS_FILES}';'Package_LGA:LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y';'http://www.st.com/web/en/resource/technical/document/datasheet/DM00042751.pdf';'';'3-Axis Accelerometer, 2/4/8/16g range, I2C/SPI interface, LGA-14';'';'21';''
